filename,width,height,class,xmin,ymin,xmax,ymax
frame_000060_89.png,320,240,person,213,79,222,93
frame_000018_89.png,320,240,person,85,107,112,148
frame_000010_89.png,320,240,person,142,81,156,100
frame_000044_89.png,320,240,person,102,72,106,78
frame_000051_89.png,320,240,person,107,75,115,86
frame_000046_89.png,320,240,person,88,73,92,80
frame_000029_89.png,320,240,person,125,126,165,179
frame_000015_89.png,320,240,person,22,134,57,186
frame_000034_89.png,320,240,person,109,100,129,135
frame_000063_89.png,320,240,person,199,77,208,89
frame_000055_89.png,320,240,person,175,72,181,82
frame_000043_89.png,320,240,person,87,73,92,81
frame_000066_89.png,320,240,person,194,84,209,104
frame_000005_89.png,320,240,person,92,117,125,165
frame_000058_89.png,320,240,person,230,82,240,96
frame_000072_89.png,320,240,person,223,89,238,110
frame_000037_89.png,320,240,person,123,77,135,92
frame_000004_89.png,320,240,person,184,127,220,181
frame_000027_89.png,320,240,person,56,84,67,102
frame_000068_89.png,320,240,person,195,112,223,155
frame_000059_89.png,320,240,person,220,84,231,102
frame_000014_89.png,320,240,person,143,88,160,114
frame_000082_89.png,320,240,person,222,114,249,156
frame_000056_89.png,320,240,person,159,70,166,80
frame_000064_89.png,320,240,person,188,76,196,88
frame_000013_89.png,320,240,person,210,104,229,139
frame_000054_89.png,320,240,person,108,71,112,79
frame_000076_89.png,320,240,person,113,103,142,142
frame_000050_89.png,320,240,person,95,73,101,83
frame_000031_89.png,320,240,person,175,93,194,122
frame_000081_89.png,320,240,person,58,126,91,176
frame_000074_89.png,320,240,person,139,89,159,118
frame_000036_89.png,320,240,person,96,79,107,93
frame_000038_89.png,320,240,person,77,80,86,92
frame_000028_89.png,320,240,person,123,95,145,127
frame_000048_89.png,320,240,person,107,71,113,79
frame_000075_89.png,320,240,person,210,101,234,135
frame_000047_89.png,320,240,person,92,72,97,80
frame_000030_89.png,320,240,person,103,146,153,210
frame_000057_89.png,320,240,person,190,72,197,83
frame_000009_89.png,320,240,person,112,90,132,119
frame_000073_89.png,320,240,person,161,81,176,101
frame_000017_89.png,320,240,person,46,96,63,122
frame_000065_89.png,320,240,person,209,81,220,97
frame_000078_89.png,320,240,person,172,93,193,122
frame_000045_89.png,320,240,person,112,70,117,78
frame_000016_89.png,320,240,person,99,99,120,133
frame_000049_89.png,320,240,person,87,72,93,82
frame_000035_89.png,320,240,person,129,81,143,100
frame_000077_89.png,320,240,person,172,93,192,122
frame_000026_89.png,320,240,person,126,73,137,88
frame_000067_89.png,320,240,person,114,106,144,147
frame_000007_89.png,320,240,person,120,102,146,142
frame_000006_89.png,320,240,person,121,104,146,144
frame_000008_89.png,320,240,person,158,86,175,111
frame_000039_89.png,320,240,person,98,75,105,85
